Id,Full name,Company name,Email,Phone,Project name,Project description,Department,Message,Created at,Updated at
1,JP Boutin,Johnson Controls International plc,BrentKBynum@rhyta.com,302-718-2374,Johnson Controls International plc,,Webdesign,,12/10/2016,12/10/2016
2,Nicolas Genest,"TPI Composites, Inc.",ThelmaCValdez@gustr.com,962-376-0870,"TPI Composites, Inc.",,Marketing,,12/10/2016,12/10/2016
3,Philippe Bouillon,DRDGOLD Limited,RobinRCox@cuvox.de,137-526-1928,DRDGOLD Limited,,Webdesign,,13/10/2016,13/10/2016
4,Felix-Antoine Paradis,"Genesis Energy, L.P.",DeshawnCGarcia@rhyta.com,140-634-9301,"Genesis Energy, L.P.",,Marketing,,20/10/2016,20/10/2016
5,Remi Gagnon,Petroleo Brasileiro S.A.- Petrobras,TamelaMGarcia@teleworm.us,172-853-6352,Petroleo Brasileiro S.A.- Petrobras,,Webdesign,,20/10/2016,20/10/2016
6,Mathieu LeFrançois,"Kinder Morgan, Inc.",EdnaPOdell@jourrapide.com,261-537-3289,"Kinder Morgan, Inc.",,Marketing,,20/10/2016,20/10/2016
7,Nicolas Pineault,"GTx, Inc.",NancyTHigginbotham@rhyta.com,370-749-4260,"GTx, Inc.",,Webdesign,,26/10/2016,26/10/2016
8,Serge Savoie,Flaherty & Crumrine Preferred Income Fund Incorporated,OwenTPetty@fleckens.hu,423-594-6662,Flaherty & Crumrine Preferred Income Fund Incorporated,,Marketing,,27/10/2016,27/10/2016
9,Nadya Fortier,"Gabelli Equity Trust, Inc. (The)",MichaelLWunder@superrito.com,418-918-9850,"Gabelli Equity Trust, Inc. (The)",,Webdesign,,14/11/2016,14/11/2016
10,Yann Dore,Vident Core US Equity ETF,EdwardDGabrielson@fleckens.hu,219-521-0018,Vident Core US Equity ETF,,Marketing,,16/11/2016,16/11/2016
11,Stephane Bruyere,"Analog Devices, Inc.",HarrietWWhaley@superrito.com,725-684-3003,"Analog Devices, Inc.",,Webdesign,,16/11/2016,16/11/2016
12,Gilles Trudel,WisdomTree China ex-State-Owned Enterprises Fund,HughGCain@cuvox.de,460-584-8842,WisdomTree China ex-State-Owned Enterprises Fund,,Marketing,,29/11/2016,29/11/2016
13,Laura Zuviri,"Calavo Growers, Inc.",WilliamDBecker@teleworm.us,134-403-5810,"Calavo Growers, Inc.",,Webdesign,,03/12/2016,03/12/2016
14,Mathieu Houde,Hyatt Hotels Corporation,MargaretJFord@einrot.com,594-673-8723,Hyatt Hotels Corporation,,Marketing,,05/12/2016,05/12/2016
15,Brent Bynum,ON Semiconductor Corporation,JohnHButcher@teleworm.us,275-776-0683,ON Semiconductor Corporation,,Webdesign,,13/12/2016,13/12/2016
16,Thelma Valdez,"Cal-Maine Foods, Inc.",YvonneRFrost@gustr.com,964-727-8059,"Cal-Maine Foods, Inc.",,Marketing,,15/12/2016,15/12/2016
17,Robin Cox,Vanguard International High Dividend Yield ETF,BreannaOHopkins@einrot.com,777-418-3269,Vanguard International High Dividend Yield ETF,,Webdesign,,20/12/2016,20/12/2016
18,Deshawn Garcia,Wix.com Ltd.,MariettaRSwearingen@jourrapide.com,156-629-2721,Wix.com Ltd.,,Marketing,,21/12/2016,21/12/2016
19,Tamela Garcia,Camden National Corporation,JamesMFrame@dayrep.com,441-859-2120,Camden National Corporation,,Webdesign,,23/12/2016,23/12/2016
20,Edna Odell,Gafisa SA,BrianDMoore@superrito.com,459-344-9318,Gafisa SA,,Marketing,,24/12/2016,24/12/2016
21,Nancy Higginbotham,Ascendis Pharma A/S,CharlieJMcCracken@fleckens.hu,645-331-1756,Ascendis Pharma A/S,,Webdesign,,27/12/2016,27/12/2016
22,Owen Petty,"Century Bancorp, Inc.",JasonMLightner@dayrep.com,221-566-6514,"Century Bancorp, Inc.",,Marketing,,28/12/2016,28/12/2016
