Id,Email,encrypted_password,reset_password_token,Reset password sent at,Remember created at,Created at,Updated at,First name,Last name,Title,Confirmation token,Confirmed at,Confirmation sent at,Unconfirmed email,Failed attempts,Unlock token,Locked at,Id [Employee],First name [Employee],Last name [Employee],Email [Employee],Title [Employee],Created at [Employee],Updated at [Employee]
7,jp@balactis.com,-,-,-,-,"October 05, 2018 13:17","October 05, 2018 13:17",JP,Boutin,Captain,-,-,"October 05, 2018 19:17",-,0,-,-,1,JP,Boutin,jp@balactis.com,Captain,"October 09, 2018 12:30","October 09, 2018 17:45"
8,nicolas.genest@codeboxx.biz,-,-,-,-,"October 05, 2018 19:07","October 05, 2018 19:07",Nicolas,Genest,Comm Rep,-,-,-,-,0,-,-,,,,,,,
9,philippe.bouillon@codeboxx.biz,-,-,-,-,"October 05, 2018 19:08","October 05, 2018 19:08",Philippe,Bouillon,Engineer,-,-,-,-,0,-,-,,,,,,,
10,felix-antoine.paradis@codeboxx.biz,-,-,-,-,"October 05, 2018 19:09","October 05, 2018 19:09",Felix-Antoine,Paradis,Engineer,-,-,-,-,0,-,-,,,,,,,
11,remi.gagnon@codeboxx.biz,-,-,-,-,"October 05, 2018 19:10","October 05, 2018 19:10",Remi,Gagnon,Engineer,-,-,-,-,0,-,-,,,,,,,
12,mathieu.lefrancois@codeboxx.biz,-,-,-,-,"October 05, 2018 19:11","October 05, 2018 19:11",Mathieu,LeFrançois,Engineer,-,-,-,-,0,-,-,,,,,,,
13,nicolas.pineault@codeboxx.biz,-,-,-,-,"October 05, 2018 19:11","October 05, 2018 19:11",Nicolas,Pineault,Engineer,-,-,-,-,0,-,-,,,,,,,
14,serge.savoie@codeboxx.biz,-,-,-,-,"October 05, 2018 19:12","October 05, 2018 19:12",Serge,Savoie,Engineer,-,-,-,-,0,-,-,,,,,,,
15,nadya.fortier@codeboxx.biz,-,-,-,-,"October 05, 2018 19:13","October 05, 2018 19:13",Nadya,Fortier,Director,-,-,-,-,0,-,-,,,,,,,
16,yanndo666@gmail.com,-,-,-,-,"October 05, 2018 20:38","October 05, 2018 20:38",Yann,Dore,Employee,-,-,-,-,0,-,-,,,,,,,
17,sbruyere@ypotek.com,-,-,-,-,"October 05, 2018 20:40","October 05, 2018 20:40",Stephane,Bruyere,Employee,-,-,-,-,0,-,-,,,,,,,
18,gillesatrudel@gmail.com,-,-,-,-,"October 05, 2018 20:41","October 05, 2018 20:41",Gilles,Trudel,Employee,-,-,-,-,0,-,-,,,,,,,
