User ID,BusinessName,StreetAddress,ContactName,ContactTelephone,ContactEmail,CompanyDescription,TechnicianName,TechnicianTelephone,TechnicianEmail,Created At,Updated At
21,Rossi Auto Parts,3855 René-Lévesque Blvd,Brent Bynum,514-963-2130,BrentKBynum@rhyta.com,Auto parts,JP Boutin,450-988-8012,jp@balactis.com,"October 05, 2018 13:17","October 05, 2018 13:17"
22,Klopfenstein's,2273 Adelaide St,Thelma Valdez,416-933-9429,ThelmaCValdez@gustr.com,Fashion retailer,Nicolas Genest,780-708-4526,nicolas.genest@codeboxx.biz,"October 05, 2018 19:07","October 05, 2018 19:07"
23,Endicott Shoes,2338 Calgary Avenue,Robin Cox,250-490-2473,RobinRCox@cuvox.de,Shoes retailer,Philippe Bouillon,514-812-2259,philippe.bouillon@codeboxx.biz,"October 05, 2018 19:08","October 05, 2018 19:08"
24,Widdmann,1384 Bloor Street,Deshawn Garcia,780-583-2677,DeshawnCGarcia@rhyta.com,Law Firm,Felix-Antoine Paradis,403-996-7048,felix-antoine.paradis@codeboxx.biz,"October 05, 2018 19:09","October 05, 2018 19:09"
25,Buena Vista Garden Maintenance,3188 Carlson Road,Tamela Garcia,250-565-5127,TamelaMGarcia@teleworm.us,Garden maintenance,Remi Gagnon,905-927-6889,remi.gagnon@codeboxx.biz,"October 05, 2018 19:10","October 05, 2018 19:10"
26,Big Wheel,302 50th Avenue,Edna Odell,780-706-9958,EdnaPOdell@jourrapide.com,Toys factory,Mathieu LeFrançois,780-205-2041,mathieu.lefrancois@codeboxx.biz,"October 05, 2018 19:11","October 05, 2018 19:11"
27,Grey Fade,2326 St Jean Baptiste St,Nancy Higginbotham,418-240-7431,NancyTHigginbotham@rhyta.com,Cosmetic factory,Nicolas Pineault,450-701-8779,nicolas.pineault@codeboxx.biz,"October 05, 2018 19:11","October 05, 2018 19:11"
28,Giant,3876 Craven Place,Owen Petty,403-548-5806,OwenTPetty@fleckens.hu,Bike manufacture,Serge Savoie,604-607-6080,serge.savoie@codeboxx.biz,"October 05, 2018 19:12","October 05, 2018 19:12"
29,Williams Bros.,1137 St. John Street,Michael Wunder,306-567-1479,MichaelLWunder@superrito.com,Movie production box,Nadya Fortier,416-391-3744,nadya.fortier@codeboxx.biz,"October 05, 2018 19:13","October 05, 2018 19:13"
30,Parts America,2365 Quayside Dr,Edward Gabrielson,604-374-7313,EdwardDGabrielson@fleckens.hu,Auto parts,Yann Dore,604-790-3420,yanndo666@gmail.com,"October 05, 2018 20:38","October 05, 2018 20:38"
31,PriceRite Warehouse Club,3365 Davis Drive,Harriet Whaley,905-754-1025,HarrietWWhaley@superrito.com,Home furniture,Stephane Bruyere,519-364-7537,sbruyere@ypotek.com,"October 05, 2018 20:40","October 05, 2018 20:40"
32,Strategy Planner,2198 rue Saint-Antoine,Hugh Cain,450-502-7207,HughGCain@cuvox.de,Strategic planning services,Gilles Trudel,519-341-4917,gillesatrudel@gmail.com,"October 05, 2018 20:41","October 05, 2018 20:41"
33,Weenie Beenie,2433 René-Lévesque Blvd,William Becker,514-569-0028,WilliamDBecker@teleworm.us,Kindergarden,Laura Zuviri,250-740-7491,liz_15xz@hotmail.com,"October 05, 2018 20:42","October 05, 2018 20:42"
34,China Coast,796 Speers Road,Margaret Ford,905-339-3042,MargaretJFord@einrot.com,Mega chinese buffet,Mathieu Houde,780-354-0176,mathieu.houde@live.ca,"October 05, 2018 20:44","October 05, 2018 20:44"
35,J. Riggings,4290 Merivale Road,John Butcher,613-727-4227,JohnHButcher@teleworm.us,Law Firm,JP Boutin,514-805-6746,jp@balactis.com,"October 06, 2018 13:17","October 06, 2018 13:17"
36,Protean,4208 Ross Street,Yvonne Frost,613-433-2432,YvonneRFrost@gustr.com,Pharmaceutical company,Nicolas Genest,613-571-7158,nicolas.genest@codeboxx.biz,"October 06, 2018 19:07","October 06, 2018 19:07"
37,Magik Gray,3246 40th Street,Breanna Hopkins,403-899-9326,BreannaOHopkins@einrot.com,Travelling Circus,Philippe Bouillon,250-878-1883,philippe.bouillon@codeboxx.biz,"October 06, 2018 19:08","October 06, 2018 19:08"
38,Food Barn,3854 Cork St,Marietta Swearingen,519-823-8380,MariettaRSwearingen@jourrapide.com,Food Store,Felix-Antoine Paradis,416-827-4859,felix-antoine.paradis@codeboxx.biz,"November 06, 2018 19:09","November 06, 2018 19:09"
39,Sav-A-Center,34 Northumberland Street,James Frame,519-846-1507,JamesMFrame@dayrep.com,Social help foundation,Remi Gagnon,604-773-8802,remi.gagnon@codeboxx.biz,"November 06, 2018 19:10","November 06, 2018 19:10"
